Job runs on node:
eu-g9-040-4
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=300
OPTSTEP=0.2
BATCHSIZE=8
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=1
NO JAX
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 1 -b 8 -e 300 -v 0.2 -sz 0.2 -of 'runs/ed' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3 -njx

Epoch 1, 	Batch:0, 	Train Loss = 2.419425, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 1.926029, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 1.728196, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 1.524623, 	Val Loss = 0.000000
Epoch 1, 	Batch:4, 	Train Loss = 1.308904, 	Val Loss = 0.000000
Epoch 1, 	Batch:5, 	Train Loss = 1.180036, 	Val Loss = 0.000000
Epoch 1, 	Batch:6, 	Train Loss = 1.093513, 	Val Loss = 0.000000
Epoch 1, 	Batch:7, 	Train Loss = 1.011420, 	Val Loss = 0.000000
Epoch 1, 	Batch:8, 	Train Loss = 0.956898, 	Val Loss = 0.000000
Epoch 1, 	Batch:9, 	Train Loss = 0.917112, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 0.499936, 	Val Loss = 0.499013
Epoch 2, 	Batch:1, 	Train Loss = 0.416979, 	Val Loss = 0.499013
Epoch 2, 	Batch:2, 	Train Loss = 0.369745, 	Val Loss = 0.499013
Epoch 2, 	Batch:3, 	Train Loss = 0.422680, 	Val Loss = 0.499013
Epoch 2, 	Batch:4, 	Train Loss = 0.408134, 	Val Loss = 0.499013
Epoch 2, 	Batch:5, 	Train Loss = 0.430998, 	Val Loss = 0.499013
Epoch 2, 	Batch:6, 	Train Loss = 0.426076, 	Val Loss = 0.499013
Epoch 2, 	Batch:7, 	Train Loss = 0.429938, 	Val Loss = 0.499013
Epoch 2, 	Batch:8, 	Train Loss = 0.430713, 	Val Loss = 0.499013
Epoch 2, 	Batch:9, 	Train Loss = 0.429046, 	Val Loss = 0.499013
Epoch 3, 	Batch:0, 	Train Loss = 0.393800, 	Val Loss = 0.331037
Epoch 3, 	Batch:1, 	Train Loss = 0.388723, 	Val Loss = 0.331037
Epoch 3, 	Batch:2, 	Train Loss = 0.418209, 	Val Loss = 0.331037
Epoch 3, 	Batch:3, 	Train Loss = 0.422623, 	Val Loss = 0.331037
Epoch 3, 	Batch:4, 	Train Loss = 0.391690, 	Val Loss = 0.331037
Epoch 3, 	Batch:5, 	Train Loss = 0.354431, 	Val Loss = 0.331037
Epoch 3, 	Batch:6, 	Train Loss = 0.368674, 	Val Loss = 0.331037
Epoch 3, 	Batch:7, 	Train Loss = 0.369694, 	Val Loss = 0.331037
Epoch 3, 	Batch:8, 	Train Loss = 0.348780, 	Val Loss = 0.331037
Epoch 3, 	Batch:9, 	Train Loss = 0.350170, 	Val Loss = 0.331037
Epoch 4, 	Batch:0, 	Train Loss = 0.318372, 	Val Loss = 0.290910
Epoch 4, 	Batch:1, 	Train Loss = 0.264632, 	Val Loss = 0.290910
Epoch 4, 	Batch:2, 	Train Loss = 0.214844, 	Val Loss = 0.290910
Epoch 4, 	Batch:3, 	Train Loss = 0.277766, 	Val Loss = 0.290910
Epoch 4, 	Batch:4, 	Train Loss = 0.281421, 	Val Loss = 0.290910
Epoch 4, 	Batch:5, 	Train Loss = 0.277409, 	Val Loss = 0.290910
Epoch 4, 	Batch:6, 	Train Loss = 0.279119, 	Val Loss = 0.290910
Epoch 4, 	Batch:7, 	Train Loss = 0.280883, 	Val Loss = 0.290910
Epoch 4, 	Batch:8, 	Train Loss = 0.282543, 	Val Loss = 0.290910
Epoch 4, 	Batch:9, 	Train Loss = 0.287563, 	Val Loss = 0.290910
Epoch 5, 	Batch:0, 	Train Loss = 0.318398, 	Val Loss = 0.197599
Epoch 5, 	Batch:1, 	Train Loss = 0.241277, 	Val Loss = 0.197599
Epoch 5, 	Batch:2, 	Train Loss = 0.261942, 	Val Loss = 0.197599
Epoch 5, 	Batch:3, 	Train Loss = 0.253404, 	Val Loss = 0.197599
Epoch 5, 	Batch:4, 	Train Loss = 0.247386, 	Val Loss = 0.197599
Epoch 5, 	Batch:5, 	Train Loss = 0.241440, 	Val Loss = 0.197599
Epoch 5, 	Batch:6, 	Train Loss = 0.233630, 	Val Loss = 0.197599
Epoch 5, 	Batch:7, 	Train Loss = 0.233941, 	Val Loss = 0.197599
Epoch 5, 	Batch:8, 	Train Loss = 0.228527, 	Val Loss = 0.197599
Epoch 5, 	Batch:9, 	Train Loss = 0.230475, 	Val Loss = 0.197599
Epoch 6, 	Batch:0, 	Train Loss = 0.147660, 	Val Loss = 0.152545
Epoch 6, 	Batch:1, 	Train Loss = 0.154198, 	Val Loss = 0.152545
Epoch 6, 	Batch:2, 	Train Loss = 0.175111, 	Val Loss = 0.152545
Epoch 6, 	Batch:3, 	Train Loss = 0.171755, 	Val Loss = 0.152545
Epoch 6, 	Batch:4, 	Train Loss = 0.178209, 	Val Loss = 0.152545
Epoch 6, 	Batch:5, 	Train Loss = 0.177591, 	Val Loss = 0.152545
Epoch 6, 	Batch:6, 	Train Loss = 0.169014, 	Val Loss = 0.152545
Epoch 6, 	Batch:7, 	Train Loss = 0.160664, 	Val Loss = 0.152545
Epoch 6, 	Batch:8, 	Train Loss = 0.155870, 	Val Loss = 0.152545
Epoch 6, 	Batch:9, 	Train Loss = 0.152827, 	Val Loss = 0.152545
Epoch 7, 	Batch:0, 	Train Loss = 0.049751, 	Val Loss = 0.030200
Epoch 7, 	Batch:1, 	Train Loss = 0.107202, 	Val Loss = 0.030200
Epoch 7, 	Batch:2, 	Train Loss = 0.129374, 	Val Loss = 0.030200
Epoch 7, 	Batch:3, 	Train Loss = 0.138774, 	Val Loss = 0.030200
Epoch 7, 	Batch:4, 	Train Loss = 0.144020, 	Val Loss = 0.030200
Epoch 7, 	Batch:5, 	Train Loss = 0.129205, 	Val Loss = 0.030200
Epoch 7, 	Batch:6, 	Train Loss = 0.131271, 	Val Loss = 0.030200
Epoch 7, 	Batch:7, 	Train Loss = 0.142140, 	Val Loss = 0.030200
Epoch 7, 	Batch:8, 	Train Loss = 0.139088, 	Val Loss = 0.030200
Epoch 7, 	Batch:9, 	Train Loss = 0.134649, 	Val Loss = 0.030200
Epoch 8, 	Batch:0, 	Train Loss = 0.148783, 	Val Loss = 0.127028
Epoch 8, 	Batch:1, 	Train Loss = 0.101235, 	Val Loss = 0.127028
Epoch 8, 	Batch:2, 	Train Loss = 0.127393, 	Val Loss = 0.127028
Epoch 8, 	Batch:3, 	Train Loss = 0.140142, 	Val Loss = 0.127028
Epoch 8, 	Batch:4, 	Train Loss = 0.129069, 	Val Loss = 0.127028
Epoch 8, 	Batch:5, 	Train Loss = 0.131079, 	Val Loss = 0.127028
Epoch 8, 	Batch:6, 	Train Loss = 0.129140, 	Val Loss = 0.127028
Epoch 8, 	Batch:7, 	Train Loss = 0.131245, 	Val Loss = 0.127028
Epoch 8, 	Batch:8, 	Train Loss = 0.134346, 	Val Loss = 0.127028
Epoch 8, 	Batch:9, 	Train Loss = 0.139496, 	Val Loss = 0.127028
Epoch 9, 	Batch:0, 	Train Loss = 0.158468, 	Val Loss = 0.117131
Epoch 9, 	Batch:1, 	Train Loss = 0.132954, 	Val Loss = 0.117131
Epoch 9, 	Batch:2, 	Train Loss = 0.140495, 	Val Loss = 0.117131
Epoch 9, 	Batch:3, 	Train Loss = 0.134949, 	Val Loss = 0.117131
Epoch 9, 	Batch:4, 	Train Loss = 0.140425, 	Val Loss = 0.117131
Epoch 9, 	Batch:5, 	Train Loss = 0.131233, 	Val Loss = 0.117131
Epoch 9, 	Batch:6, 	Train Loss = 0.136795, 	Val Loss = 0.117131
Epoch 9, 	Batch:7, 	Train Loss = 0.142123, 	Val Loss = 0.117131
Epoch 9, 	Batch:8, 	Train Loss = 0.148216, 	Val Loss = 0.117131
Epoch 9, 	Batch:9, 	Train Loss = 0.150579, 	Val Loss = 0.117131
Epoch 10, 	Batch:0, 	Train Loss = 0.176251, 	Val Loss = 0.160728
Epoch 10, 	Batch:1, 	Train Loss = 0.160149, 	Val Loss = 0.160728
Epoch 10, 	Batch:2, 	Train Loss = 0.166129, 	Val Loss = 0.160728
Epoch 10, 	Batch:3, 	Train Loss = 0.153341, 	Val Loss = 0.160728
