Job runs on node:
eu-g9-048-1
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=2
EPOCHS=300
OPTSTEP=0.2
BATCHSIZE=20
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
NO JAX
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 2 -b 20 -e 300 -v 0.2 -sz 0.2 -of 'runs' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3 -jx
Running AE with 8 input qubit and 2 trash qubit in batches of 20

Epoch 1, 	Batch:0, 	Train Loss = 2.313672, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 2.419336, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 2.203723, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 2.077820, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 2.904821, 	Val Loss = 2.895130
Epoch 2, 	Batch:1, 	Train Loss = 2.712423, 	Val Loss = 2.895130
Epoch 2, 	Batch:2, 	Train Loss = 2.718152, 	Val Loss = 2.895130
Epoch 2, 	Batch:3, 	Train Loss = 2.789717, 	Val Loss = 2.895130
Epoch 3, 	Batch:0, 	Train Loss = 2.440266, 	Val Loss = 2.700563
Epoch 3, 	Batch:1, 	Train Loss = 2.465603, 	Val Loss = 2.700563
Epoch 3, 	Batch:2, 	Train Loss = 2.595544, 	Val Loss = 2.700563
Epoch 3, 	Batch:3, 	Train Loss = 2.503453, 	Val Loss = 2.700563
Epoch 4, 	Batch:0, 	Train Loss = 2.231370, 	Val Loss = 2.448536
Epoch 4, 	Batch:1, 	Train Loss = 2.688691, 	Val Loss = 2.448536
Epoch 4, 	Batch:2, 	Train Loss = 2.441697, 	Val Loss = 2.448536
Epoch 4, 	Batch:3, 	Train Loss = 2.291571, 	Val Loss = 2.448536
Epoch 5, 	Batch:0, 	Train Loss = 2.219877, 	Val Loss = 1.882377
Epoch 5, 	Batch:1, 	Train Loss = 2.658407, 	Val Loss = 1.882377
Epoch 5, 	Batch:2, 	Train Loss = 2.370239, 	Val Loss = 1.882377
Epoch 5, 	Batch:3, 	Train Loss = 2.173591, 	Val Loss = 1.882377
Epoch 6, 	Batch:0, 	Train Loss = 1.807030, 	Val Loss = 3.441707
Epoch 6, 	Batch:1, 	Train Loss = 2.128822, 	Val Loss = 3.441707
Epoch 6, 	Batch:2, 	Train Loss = 2.126865, 	Val Loss = 3.441707
Epoch 6, 	Batch:3, 	Train Loss = 2.018466, 	Val Loss = 3.441707
Epoch 7, 	Batch:0, 	Train Loss = 2.811124, 	Val Loss = 3.330849
Epoch 7, 	Batch:1, 	Train Loss = 3.066281, 	Val Loss = 3.330849
Epoch 7, 	Batch:2, 	Train Loss = 2.838735, 	Val Loss = 3.330849
Epoch 7, 	Batch:3, 	Train Loss = 2.724528, 	Val Loss = 3.330849
Epoch 8, 	Batch:0, 	Train Loss = 2.428515, 	Val Loss = 1.784423
Epoch 8, 	Batch:1, 	Train Loss = 2.160560, 	Val Loss = 1.784423
Epoch 8, 	Batch:2, 	Train Loss = 2.154029, 	Val Loss = 1.784423
Epoch 8, 	Batch:3, 	Train Loss = 2.365323, 	Val Loss = 1.784423
Epoch 9, 	Batch:0, 	Train Loss = 2.348897, 	Val Loss = 2.876819
Epoch 9, 	Batch:1, 	Train Loss = 2.399842, 	Val Loss = 2.876819
Epoch 9, 	Batch:2, 	Train Loss = 2.571774, 	Val Loss = 2.876819
Epoch 9, 	Batch:3, 	Train Loss = 2.548831, 	Val Loss = 2.876819
Epoch 10, 	Batch:0, 	Train Loss = 1.872706, 	Val Loss = 3.403475
Epoch 10, 	Batch:1, 	Train Loss = 2.407276, 	Val Loss = 3.403475
Epoch 10, 	Batch:2, 	Train Loss = 2.244308, 	Val Loss = 3.403475
Epoch 10, 	Batch:3, 	Train Loss = 2.182403, 	Val Loss = 3.403475
Epoch 11, 	Batch:0, 	Train Loss = 2.187787, 	Val Loss = 2.492233
Epoch 11, 	Batch:1, 	Train Loss = 2.040570, 	Val Loss = 2.492233
Epoch 11, 	Batch:2, 	Train Loss = 2.099600, 	Val Loss = 2.492233
Epoch 11, 	Batch:3, 	Train Loss = 2.183632, 	Val Loss = 2.492233
Epoch 12, 	Batch:0, 	Train Loss = 2.260265, 	Val Loss = 3.399233
Epoch 12, 	Batch:1, 	Train Loss = 2.127800, 	Val Loss = 3.399233
Epoch 12, 	Batch:2, 	Train Loss = 2.210739, 	Val Loss = 3.399233
Epoch 12, 	Batch:3, 	Train Loss = 2.209258, 	Val Loss = 3.399233
Epoch 13, 	Batch:0, 	Train Loss = 1.684549, 	Val Loss = 3.762406
Epoch 13, 	Batch:1, 	Train Loss = 2.010251, 	Val Loss = 3.762406
Epoch 13, 	Batch:2, 	Train Loss = 2.150656, 	Val Loss = 3.762406
Epoch 13, 	Batch:3, 	Train Loss = 2.251552, 	Val Loss = 3.762406
Epoch 14, 	Batch:0, 	Train Loss = 2.917463, 	Val Loss = 2.609977
Epoch 14, 	Batch:1, 	Train Loss = 3.001168, 	Val Loss = 2.609977
Epoch 14, 	Batch:2, 	Train Loss = 2.777976, 	Val Loss = 2.609977
Epoch 14, 	Batch:3, 	Train Loss = 2.591527, 	Val Loss = 2.609977
Epoch 15, 	Batch:0, 	Train Loss = 2.159907, 	Val Loss = 2.073948
Epoch 15, 	Batch:1, 	Train Loss = 2.369008, 	Val Loss = 2.073948
Epoch 15, 	Batch:2, 	Train Loss = 2.131863, 	Val Loss = 2.073948
Epoch 15, 	Batch:3, 	Train Loss = 2.330279, 	Val Loss = 2.073948
Epoch 16, 	Batch:0, 	Train Loss = 2.422971, 	Val Loss = 3.286261
Epoch 16, 	Batch:1, 	Train Loss = 2.410071, 	Val Loss = 3.286261
Epoch 16, 	Batch:2, 	Train Loss = 2.545879, 	Val Loss = 3.286261
Epoch 16, 	Batch:3, 	Train Loss = 2.404930, 	Val Loss = 3.286261
Epoch 17, 	Batch:0, 	Train Loss = 2.316361, 	Val Loss = 2.572697
Epoch 17, 	Batch:1, 	Train Loss = 2.642738, 	Val Loss = 2.572697
Epoch 17, 	Batch:2, 	Train Loss = 2.573081, 	Val Loss = 2.572697
Epoch 17, 	Batch:3, 	Train Loss = 2.521770, 	Val Loss = 2.572697
Epoch 18, 	Batch:0, 	Train Loss = 1.446459, 	Val Loss = 1.922236
Epoch 18, 	Batch:1, 	Train Loss = 2.181043, 	Val Loss = 1.922236
Epoch 18, 	Batch:2, 	Train Loss = 2.088227, 	Val Loss = 1.922236
Epoch 18, 	Batch:3, 	Train Loss = 2.031105, 	Val Loss = 1.922236
Epoch 19, 	Batch:0, 	Train Loss = 2.811124, 	Val Loss = 2.056303
Epoch 19, 	Batch:1, 	Train Loss = 2.296776, 	Val Loss = 2.056303
Epoch 19, 	Batch:2, 	Train Loss = 2.558355, 	Val Loss = 2.056303
Epoch 19, 	Batch:3, 	Train Loss = 2.342084, 	Val Loss = 2.056303
Epoch 20, 	Batch:0, 	Train Loss = 2.315259, 	Val Loss = 3.393567
Epoch 20, 	Batch:1, 	Train Loss = 1.984806, 	Val Loss = 3.393567
Epoch 20, 	Batch:2, 	Train Loss = 2.162004, 	Val Loss = 3.393567
Epoch 20, 	Batch:3, 	Train Loss = 2.093971, 	Val Loss = 3.393567
Epoch 21, 	Batch:0, 	Train Loss = 2.153773, 	Val Loss = 2.073948
Epoch 21, 	Batch:1, 	Train Loss = 2.625355, 	Val Loss = 2.073948
Epoch 21, 	Batch:2, 	Train Loss = 2.502898, 	Val Loss = 2.073948
Epoch 21, 	Batch:3, 	Train Loss = 2.373511, 	Val Loss = 2.073948
Epoch 22, 	Batch:0, 	Train Loss = 2.592036, 	Val Loss = 3.403475
Epoch 22, 	Batch:1, 	Train Loss = 2.243906, 	Val Loss = 3.403475
Epoch 22, 	Batch:2, 	Train Loss = 2.036855, 	Val Loss = 3.403475
Epoch 22, 	Batch:3, 	Train Loss = 2.137684, 	Val Loss = 3.403475
Epoch 23, 	Batch:0, 	Train Loss = 2.743655, 	Val Loss = 2.591180
Epoch 23, 	Batch:1, 	Train Loss = 2.632020, 	Val Loss = 2.591180
Epoch 23, 	Batch:2, 	Train Loss = 2.520242, 	Val Loss = 2.591180
Epoch 23, 	Batch:3, 	Train Loss = 2.578017, 	Val Loss = 2.591180
Epoch 24, 	Batch:0, 	Train Loss = 2.484671, 	Val Loss = 1.964237
Epoch 24, 	Batch:1, 	Train Loss = 2.476309, 	Val Loss = 1.964237
Epoch 24, 	Batch:2, 	Train Loss = 2.609251, 	Val Loss = 1.964237
Epoch 24, 	Batch:3, 	Train Loss = 2.421873, 	Val Loss = 1.964237
Epoch 25, 	Batch:0, 	Train Loss = 2.835387, 	Val Loss = 3.399233
Epoch 25, 	Batch:1, 	Train Loss = 2.624693, 	Val Loss = 3.399233
Epoch 25, 	Batch:2, 	Train Loss = 2.513768, 	Val Loss = 3.399233
Epoch 25, 	Batch:3, 	Train Loss = 2.543374, 	Val Loss = 3.399233
Epoch 26, 	Batch:0, 	Train Loss = 2.215688, 	Val Loss = 2.492233
Epoch 26, 	Batch:1, 	Train Loss = 2.051030, 	Val Loss = 2.492233
Epoch 26, 	Batch:2, 	Train Loss = 2.237057, 	Val Loss = 2.492233
Epoch 26, 	Batch:3, 	Train Loss = 2.427594, 	Val Loss = 2.492233
Epoch 27, 	Batch:0, 	Train Loss = 2.333945, 	Val Loss = 3.397819
Epoch 27, 	Batch:1, 	Train Loss = 2.367440, 	Val Loss = 3.397819
Epoch 27, 	Batch:2, 	Train Loss = 2.171400, 	Val Loss = 3.397819
Epoch 27, 	Batch:3, 	Train Loss = 2.237482, 	Val Loss = 3.397819
Epoch 28, 	Batch:0, 	Train Loss = 1.824044, 	Val Loss = 2.480570
Epoch 28, 	Batch:1, 	Train Loss = 2.434515, 	Val Loss = 2.480570
Epoch 28, 	Batch:2, 	Train Loss = 2.276675, 	Val Loss = 2.480570
Epoch 28, 	Batch:3, 	Train Loss = 2.451212, 	Val Loss = 2.480570
Epoch 29, 	Batch:0, 	Train Loss = 1.833612, 	Val Loss = 2.547459
Epoch 29, 	Batch:1, 	Train Loss = 1.765786, 	Val Loss = 2.547459
Epoch 29, 	Batch:2, 	Train Loss = 2.123788, 	Val Loss = 2.547459
Epoch 29, 	Batch:3, 	Train Loss = 2.175303, 	Val Loss = 2.547459
Epoch 30, 	Batch:0, 	Train Loss = 2.335825, 	Val Loss = 2.489701
Epoch 30, 	Batch:1, 	Train Loss = 2.430412, 	Val Loss = 2.489701
Epoch 30, 	Batch:2, 	Train Loss = 2.571194, 	Val Loss = 2.489701
Epoch 30, 	Batch:3, 	Train Loss = 2.523359, 	Val Loss = 2.489701
Epoch 31, 	Batch:0, 	Train Loss = 2.203495, 	Val Loss = 2.611127
Epoch 31, 	Batch:1, 	Train Loss = 2.650215, 	Val Loss = 2.611127
Epoch 31, 	Batch:2, 	Train Loss = 2.406672, 	Val Loss = 2.611127
Epoch 31, 	Batch:3, 	Train Loss = 2.413936, 	Val Loss = 2.611127
Epoch 32, 	Batch:0, 	Train Loss = 3.083272, 	Val Loss = 2.752928
Epoch 32, 	Batch:1, 	Train Loss = 2.621115, 	Val Loss = 2.752928
Epoch 32, 	Batch:2, 	Train Loss = 2.711352, 	Val Loss = 2.752928
Epoch 32, 	Batch:3, 	Train Loss = 2.590310, 	Val Loss = 2.752928
Epoch 33, 	Batch:0, 	Train Loss = 2.438774, 	Val Loss = 2.830223
Epoch 33, 	Batch:1, 	Train Loss = 2.777609, 	Val Loss = 2.830223
Epoch 33, 	Batch:2, 	Train Loss = 2.422313, 	Val Loss = 2.830223
Epoch 33, 	Batch:3, 	Train Loss = 2.296495, 	Val Loss = 2.830223
Epoch 34, 	Batch:0, 	Train Loss = 2.451588, 	Val Loss = 2.364025
Epoch 34, 	Batch:1, 	Train Loss = 2.404003, 	Val Loss = 2.364025
Epoch 34, 	Batch:2, 	Train Loss = 2.565398, 	Val Loss = 2.364025
Epoch 34, 	Batch:3, 	Train Loss = 2.447508, 	Val Loss = 2.364025
Epoch 35, 	Batch:0, 	Train Loss = 2.888449, 	Val Loss = 3.739076
Epoch 35, 	Batch:1, 	Train Loss = 2.330985, 	Val Loss = 3.739076
Epoch 35, 	Batch:2, 	Train Loss = 2.482123, 	Val Loss = 3.739076
Epoch 35, 	Batch:3, 	Train Loss = 2.473012, 	Val Loss = 3.739076
Epoch 36, 	Batch:0, 	Train Loss = 2.915207, 	Val Loss = 3.506187
Epoch 36, 	Batch:1, 	Train Loss = 2.380379, 	Val Loss = 3.506187
Epoch 36, 	Batch:2, 	Train Loss = 2.360811, 	Val Loss = 3.506187
Epoch 36, 	Batch:3, 	Train Loss = 2.520410, 	Val Loss = 3.506187
Epoch 37, 	Batch:0, 	Train Loss = 2.315259, 	Val Loss = 2.698155
Epoch 37, 	Batch:1, 	Train Loss = 2.726696, 	Val Loss = 2.698155
Epoch 37, 	Batch:2, 	Train Loss = 2.581770, 	Val Loss = 2.698155
Epoch 37, 	Batch:3, 	Train Loss = 2.401159, 	Val Loss = 2.698155
Epoch 38, 	Batch:0, 	Train Loss = 1.987275, 	Val Loss = 3.403475
