Job runs on node:
eu-g5-017-1
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=2
EPOCHS=300
OPTSTEP=0.2
BATCHSIZE=20
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 2 -b 20 -e 300 -v 0.2 -sz 0.2 -of 'runs' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3
Running AE with 8 input qubit and 2 trash qubit in batches of 20

Epoch 1, 	Batch:0, 	Train Loss = 2.349988, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 1.983381, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 2.117509, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 2.105037, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 2.044122, 	Val Loss = 1.388449
Epoch 2, 	Batch:1, 	Train Loss = 1.807097, 	Val Loss = 1.388449
Epoch 2, 	Batch:2, 	Train Loss = 1.575970, 	Val Loss = 1.388449
Epoch 2, 	Batch:3, 	Train Loss = 1.533423, 	Val Loss = 1.388449
Epoch 3, 	Batch:0, 	Train Loss = 1.196416, 	Val Loss = 1.263478
Epoch 3, 	Batch:1, 	Train Loss = 1.027468, 	Val Loss = 1.263478
Epoch 3, 	Batch:2, 	Train Loss = 0.989118, 	Val Loss = 1.263478
Epoch 3, 	Batch:3, 	Train Loss = 1.015781, 	Val Loss = 1.263478
Epoch 4, 	Batch:0, 	Train Loss = 0.662598, 	Val Loss = 0.879162
Epoch 4, 	Batch:1, 	Train Loss = 0.598988, 	Val Loss = 0.879162
Epoch 4, 	Batch:2, 	Train Loss = 0.686307, 	Val Loss = 0.879162
Epoch 4, 	Batch:3, 	Train Loss = 0.718789, 	Val Loss = 0.879162
Epoch 5, 	Batch:0, 	Train Loss = 0.707875, 	Val Loss = 1.025117
Epoch 5, 	Batch:1, 	Train Loss = 0.497710, 	Val Loss = 1.025117
Epoch 5, 	Batch:2, 	Train Loss = 0.616655, 	Val Loss = 1.025117
Epoch 5, 	Batch:3, 	Train Loss = 0.712545, 	Val Loss = 1.025117
Epoch 6, 	Batch:0, 	Train Loss = 0.552275, 	Val Loss = 0.716356
Epoch 6, 	Batch:1, 	Train Loss = 0.415120, 	Val Loss = 0.716356
Epoch 6, 	Batch:2, 	Train Loss = 0.534877, 	Val Loss = 0.716356
Epoch 6, 	Batch:3, 	Train Loss = 0.637322, 	Val Loss = 0.716356
Epoch 7, 	Batch:0, 	Train Loss = 0.409981, 	Val Loss = 0.798834
Epoch 7, 	Batch:1, 	Train Loss = 0.406328, 	Val Loss = 0.798834
Epoch 7, 	Batch:2, 	Train Loss = 0.523617, 	Val Loss = 0.798834
Epoch 7, 	Batch:3, 	Train Loss = 0.599934, 	Val Loss = 0.798834
Epoch 8, 	Batch:0, 	Train Loss = 0.591402, 	Val Loss = 0.513495
Epoch 8, 	Batch:1, 	Train Loss = 0.398912, 	Val Loss = 0.513495
Epoch 8, 	Batch:2, 	Train Loss = 0.523559, 	Val Loss = 0.513495
Epoch 8, 	Batch:3, 	Train Loss = 0.571607, 	Val Loss = 0.513495
Epoch 9, 	Batch:0, 	Train Loss = 0.530959, 	Val Loss = 0.782967
Epoch 9, 	Batch:1, 	Train Loss = 0.416993, 	Val Loss = 0.782967
Epoch 9, 	Batch:2, 	Train Loss = 0.452770, 	Val Loss = 0.782967
Epoch 9, 	Batch:3, 	Train Loss = 0.479064, 	Val Loss = 0.782967
Epoch 10, 	Batch:0, 	Train Loss = 0.574903, 	Val Loss = 0.426358
Epoch 10, 	Batch:1, 	Train Loss = 0.466871, 	Val Loss = 0.426358
Epoch 10, 	Batch:2, 	Train Loss = 0.494801, 	Val Loss = 0.426358
Epoch 10, 	Batch:3, 	Train Loss = 0.479802, 	Val Loss = 0.426358
Epoch 11, 	Batch:0, 	Train Loss = 0.580516, 	Val Loss = 0.674342
Epoch 11, 	Batch:1, 	Train Loss = 0.446477, 	Val Loss = 0.674342
Epoch 11, 	Batch:2, 	Train Loss = 0.506634, 	Val Loss = 0.674342
Epoch 11, 	Batch:3, 	Train Loss = 0.537420, 	Val Loss = 0.674342
Epoch 12, 	Batch:0, 	Train Loss = 0.346976, 	Val Loss = 0.466004
Epoch 12, 	Batch:1, 	Train Loss = 0.358763, 	Val Loss = 0.466004
Epoch 12, 	Batch:2, 	Train Loss = 0.423721, 	Val Loss = 0.466004
Epoch 12, 	Batch:3, 	Train Loss = 0.454501, 	Val Loss = 0.466004
Epoch 13, 	Batch:0, 	Train Loss = 0.260824, 	Val Loss = 0.373061
Epoch 13, 	Batch:1, 	Train Loss = 0.287350, 	Val Loss = 0.373061
Epoch 13, 	Batch:2, 	Train Loss = 0.377610, 	Val Loss = 0.373061
Epoch 13, 	Batch:3, 	Train Loss = 0.423812, 	Val Loss = 0.373061
Epoch 14, 	Batch:0, 	Train Loss = 0.312858, 	Val Loss = 0.634814
Epoch 14, 	Batch:1, 	Train Loss = 0.326072, 	Val Loss = 0.634814
Epoch 14, 	Batch:2, 	Train Loss = 0.400568, 	Val Loss = 0.634814
Epoch 14, 	Batch:3, 	Train Loss = 0.454830, 	Val Loss = 0.634814
Epoch 15, 	Batch:0, 	Train Loss = 0.442426, 	Val Loss = 0.500272
Epoch 15, 	Batch:1, 	Train Loss = 0.384551, 	Val Loss = 0.500272
Epoch 15, 	Batch:2, 	Train Loss = 0.486752, 	Val Loss = 0.500272
Epoch 15, 	Batch:3, 	Train Loss = 0.439287, 	Val Loss = 0.500272
Epoch 16, 	Batch:0, 	Train Loss = 0.194348, 	Val Loss = 0.474660
Epoch 16, 	Batch:1, 	Train Loss = 0.248953, 	Val Loss = 0.474660
Epoch 16, 	Batch:2, 	Train Loss = 0.305415, 	Val Loss = 0.474660
Epoch 16, 	Batch:3, 	Train Loss = 0.363210, 	Val Loss = 0.474660
Epoch 17, 	Batch:0, 	Train Loss = 0.461990, 	Val Loss = 0.519176
Epoch 17, 	Batch:1, 	Train Loss = 0.447798, 	Val Loss = 0.519176
Epoch 17, 	Batch:2, 	Train Loss = 0.486704, 	Val Loss = 0.519176
Epoch 17, 	Batch:3, 	Train Loss = 0.502659, 	Val Loss = 0.519176
Epoch 18, 	Batch:0, 	Train Loss = 0.309036, 	Val Loss = 0.574365
Epoch 18, 	Batch:1, 	Train Loss = 0.276454, 	Val Loss = 0.574365
Epoch 18, 	Batch:2, 	Train Loss = 0.377380, 	Val Loss = 0.574365
Epoch 18, 	Batch:3, 	Train Loss = 0.427257, 	Val Loss = 0.574365
Epoch 19, 	Batch:0, 	Train Loss = 0.346593, 	Val Loss = 0.641965
Epoch 19, 	Batch:1, 	Train Loss = 0.321798, 	Val Loss = 0.641965
Epoch 19, 	Batch:2, 	Train Loss = 0.371104, 	Val Loss = 0.641965
Epoch 19, 	Batch:3, 	Train Loss = 0.398458, 	Val Loss = 0.641965
Epoch 20, 	Batch:0, 	Train Loss = 0.450829, 	Val Loss = 0.599235
Epoch 20, 	Batch:1, 	Train Loss = 0.394607, 	Val Loss = 0.599235
Epoch 20, 	Batch:2, 	Train Loss = 0.349018, 	Val Loss = 0.599235
Epoch 20, 	Batch:3, 	Train Loss = 0.396337, 	Val Loss = 0.599235
Epoch 21, 	Batch:0, 	Train Loss = 0.369329, 	Val Loss = 0.482843
Epoch 21, 	Batch:1, 	Train Loss = 0.289708, 	Val Loss = 0.482843
Epoch 21, 	Batch:2, 	Train Loss = 0.333900, 	Val Loss = 0.482843
Epoch 21, 	Batch:3, 	Train Loss = 0.387212, 	Val Loss = 0.482843
Epoch 22, 	Batch:0, 	Train Loss = 0.325973, 	Val Loss = 0.337477
Epoch 22, 	Batch:1, 	Train Loss = 0.275628, 	Val Loss = 0.337477
Epoch 22, 	Batch:2, 	Train Loss = 0.358585, 	Val Loss = 0.337477
Epoch 22, 	Batch:3, 	Train Loss = 0.404405, 	Val Loss = 0.337477
Epoch 23, 	Batch:0, 	Train Loss = 0.338904, 	Val Loss = 0.393665
Epoch 23, 	Batch:1, 	Train Loss = 0.290280, 	Val Loss = 0.393665
Epoch 23, 	Batch:2, 	Train Loss = 0.344220, 	Val Loss = 0.393665
Epoch 23, 	Batch:3, 	Train Loss = 0.358628, 	Val Loss = 0.393665
Epoch 24, 	Batch:0, 	Train Loss = 0.343418, 	Val Loss = 0.463650
Epoch 24, 	Batch:1, 	Train Loss = 0.311176, 	Val Loss = 0.463650
Epoch 24, 	Batch:2, 	Train Loss = 0.357124, 	Val Loss = 0.463650
Epoch 24, 	Batch:3, 	Train Loss = 0.384141, 	Val Loss = 0.463650
Epoch 25, 	Batch:0, 	Train Loss = 0.393337, 	Val Loss = 0.433960
Epoch 25, 	Batch:1, 	Train Loss = 0.338781, 	Val Loss = 0.433960
Epoch 25, 	Batch:2, 	Train Loss = 0.339581, 	Val Loss = 0.433960
Epoch 25, 	Batch:3, 	Train Loss = 0.347038, 	Val Loss = 0.433960
Epoch 26, 	Batch:0, 	Train Loss = 0.312623, 	Val Loss = 0.600661
Epoch 26, 	Batch:1, 	Train Loss = 0.286721, 	Val Loss = 0.600661
